,ACK1,ACK2,ACK3,AN1,AN2,AN3,AR1,AR2,AR3,SCK2.1,SCK2.2,SCK2.3,SN2.1,SN2.2,SN2.3,SR1,SR2,SR3,YCK1,YCK2,YCK3,YN1,YN2,YN3,YR1,YR2,YR3
ASV_139,0,0,0,0,0,0,162,62,77,0,0,0,0,0,0,78,83,56,0,25,0,0,0,0,177,81,94
ASV_140,0,56,0,0,0,0,0,0,0,96,87,97,0,0,0,0,0,0,432,84,42,0,0,0,0,0,0
ASV_141,0,124,0,0,0,0,75,85,94,0,0,0,0,0,0,29,36,96,111,0,0,0,0,0,74,51,113
ASV_142,0,0,40,0,0,0,58,55,143,0,0,0,0,0,0,104,87,48,0,0,0,0,0,0,147,78,113
ASV_143,24,25,441,0,0,0,0,0,0,123,96,90,0,0,0,0,0,0,0,33,35,0,0,0,0,0,0
ASV_144,10,4,534,0,0,0,0,0,0,29,49,29,0,0,0,0,0,0,0,11,200,0,0,0,0,0,0
ASV_145,0,0,0,0,0,13,154,63,0,0,0,0,0,0,0,134,18,0,0,14,0,0,0,0,309,125,35
ASV_146,0,0,0,0,16,35,114,87,44,0,0,0,0,0,0,154,73,110,28,0,0,0,0,0,123,29,43
ASV_147,40,363,0,0,0,0,10,82,0,0,0,0,0,0,0,0,0,30,163,0,0,0,0,0,16,100,44
ASV_148,0,0,0,0,0,0,0,0,0,166,303,366,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
ASV_149,0,0,489,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,41,48,233,0,0,0,0,0,0
ASV_150,11,0,10,0,0,0,0,0,0,240,262,305,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
ASV_151,0,23,11,0,0,0,0,0,0,96,120,78,0,0,0,0,0,0,115,6,386,0,0,0,0,0,0
ASV_152,0,29,0,0,14,16,9,51,0,0,0,0,0,0,0,38,332,129,48,0,0,0,0,0,23,29,107
ASV_153,0,56,420,0,0,0,0,0,0,73,86,80,0,0,0,0,0,0,0,84,0,0,0,0,0,0,23
ASV_154,0,0,77,0,0,0,0,0,0,187,229,195,0,0,0,0,0,0,0,115,19,0,0,0,0,0,0
ASV_155,337,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,367,0,0,0,0,0,0,0
ASV_156,30,7,176,0,0,0,0,0,0,183,177,112,0,0,0,0,0,0,13,40,80,0,0,0,0,0,0
ASV_157,0,0,0,28,177,37,0,0,0,0,0,0,0,234,0,29,38,0,0,0,0,0,0,272,0,0,0
ASV_158,26,0,453,0,0,0,0,0,0,61,146,20,0,0,0,0,0,0,0,71,37,0,0,0,0,0,0
ASV_159,0,0,0,0,0,0,286,32,69,0,0,0,0,0,0,28,38,70,15,3,0,0,0,0,38,162,70
